n,p1,p2,pr_factor,run_pr,peak
40729874757585523,400331,101740496633,400331,0.0009866479999995903,268
141466457806687567,400331,353373727757,400331,0.001110351999999537,268
1413799806207430309,400331,3531577135439,400331,0.001418799000001414,292
3641276742353662147,400331,9095665192937,400331,0.0011961720000002174,292
11203276165240690591,400331,27985032798461,400331,0.0034746759999997323,292
32724778600891660351,400331,81744303091421,400331,0.0018709810000014926,292
128208394127989529231,400331,320255973501901,400331,0.002086194999998625,292
389670028125256478449,400331,973369606963379,400331,0.0012721760000005133,292
943721633457806687567,400331,2357353373727757,400331,0.00207354500000001,292
2046136222222225380389,400331,5111111111111119,400331,0.0013197700000002754,292
14862091430189091459647,400331,37124508045065437,400331,0.0011119369999992301,292
29923731313131312941257,400331,74747474747474747,400331,0.0020415329999998733,292
247732677141958147092769,400331,618819619619660099,400331,0.0025989869999989423,300
177924977932293565466569,400331,444444666868899899,400331,0.0012716229999991668,300
10007030021,1000003,10007,10007,0.00013194499999968912,204
99991299973,1000003,99991,1000003,0.0019887679999985863,260
400308200921,1000003,400307,1000003,0.0028924959999994115,260
400332200993,1000003,400331,400331,0.0014264149999974052,260
1000006000009,1000003,1000003,1000003,0.0022312520000014047,260
10916481749347,1000003,10916449,1000003,0.002771271000000297,260
14494662483857,1000003,14494619,1000003,0.0023120399999996266,260
100000307000021,1000003,100000007,1000003,0.0027700390000013897,268
949892838669967,1000003,949889989,1000003,0.0023686410000003377,268
5915605023761831,1000003,5915587277,1000003,0.004163923000000125,268
3367910416700939,1000003,3367900313,1000003,0.0028437880000034,268
73534543735969399,1000003,73534323133,1000003,0.0038939800000008518,268
30369987412688909,1000003,30369896303,1000003,0.0013555630000006147,268
101740801854489899,1000003,101740496633,1000003,0.004802511000001175,268
353374787878183271,1000003,353373727757,1000003,0.0035649100000014755,268
3531587730170406317,1000003,3531577135439,1000003,0.0027333220000009817,292
9095692479932578811,1000003,9095665192937,1000003,0.004166680000000866,292
27985116753559395383,1000003,27985032798461,1000003,0.0032945170000004964,292
81744548324330274263,1000003,81744303091421,1000003,0.0026588779999983103,292
320256934269821505703,1000003,320255973501901,1000003,0.004260201000001018,292
973372527072199890137,1000003,973369606963379,1000003,0.007414138000001458,292
2357360445787878183271,1000003,2357353373727757,1000003,0.004301289999997238,292
5111126444444452333357,1000003,5111111111111119,1000003,0.0028289390000004744,292
37124619418589572196311,1000003,37124508045065437,1000003,0.0002816030000012404,236
74747698989898989424241,1000003,74747474747474747,1000003,0.0018180919999970513,300
618821476078518957980297,1000003,618819619619660099,1000003,0.0036126339999995594,300
444446000202900505699697,1000003,444444666868899899,1000003,0.0028445189999999343,300
109240905143,10916449,10007,10007,0.00015803999999874918,204
1091546651959,10916449,99991,99991,0.0041958979999989765,260
4369930949843,10916449,400307,400307,0.0019095940000042333,260
4370192944619,10916449,400331,400331,0.0015980500000054576,260
10916481749347,10916449,1000003,1000003,0.002965088999999921,260
119168858769601,10916449,10916449,10916449,0.035907713000000285,268
158229769087931,10916449,14494619,14494619,0.00373704599999769,268
1091644976415143,10916449,100000007,10916449,0.03661912900000175,268
10369425620529061,10916449,949889989,10916449,0.006220220000002996,268
64577206814419373,10916449,5915587277,10916449,0.020346126999996272,268
36765512003948537,10916449,3367900313,10916449,0.011348147999996172,268
802733688230914717,10916449,73534323133,10916449,0.02164302199999213,268
